ID,Date,User,Screen Name,Location,Text,Source,Likes,RTs
1082466739340955656,2019-01-08 02:39:16,Jorge Saldivar,aleksaldivar,Monterrey,IZZI Me acaba de llegar notificación que contrate paquete PREMIUM desde mi convertidor. Hablé para aclarar y me colgaron a media llamada @ayudaizzi es el segundo mes que me la aplican!,Twitter for iPhone,0,0
1082463913713774594,2019-01-08 02:28:02,el pinche abuelo,abrangordo,"Bosque de Chapultepec, Miguel ","@ayudaizzi por que izzi por que no puedes cumplir con lo que pago, ojala me descuenten en mi siguiente factura ayuda @Profeco https://t.co/Ab9izoRFcO",Twitter for Android,0,0
1082458024185290752,2019-01-08 02:04:38,ADRIANA HERNANDEZ,Adriana_HdzC,Luchando a cada día ♡♡,@ayudaizzi Casualmente después de que hablo a @izzi_mx me dicen que se actualizan los modelos y Ahorita llega un estúpido mensaje que dice que por la luz existe el problema @Profeco  su apoyo,Twitter for Android,0,0
1082457051257802752,2019-01-08 02:00:46,Manuel Santishan,alecvmo2,,"Muy buenas noches estimados proveedores de Internet, @izzi_mx @ayudaizzi, toda la tarde se ha estado cayendo la señal constantemente y eso me tiene muy consternado, quisiera una solución lo antes posible ya que he perdido bastante dinero por dichos fallos en la red.",Twitter for Android,1,0
1082455855184830464,2019-01-08 01:56:01,ADRIANA HERNANDEZ,Adriana_HdzC,Luchando a cada día ♡♡,@ayudaizzi  Ahora con la estupidez de actualización de Módem y me dicen que espere cuanto maldito tiempo más sin internet y luego no quieren hacer ajustes,Twitter for Android,0,0
1082451494194970624,2019-01-08 01:38:41,Abraham VM,AbrahamVMM,Ciudad de México,"@ayudaizzi llevo todo el día sin internet, ya reinicie el módem, pero nada ):",Twitter for Android,0,0
1082448312421281794,2019-01-08 01:26:03,EyderCardenas,EyderCardenas,Tijuana,@ayudaizzi no tengo internet desde la 1 de la tarde,Twitter for iPhone,0,0
1082447505487466496,2019-01-08 01:22:50,Rafael bike oseas,rafaeloseas,oaxaca,"@KrasoCG @ayudaizzi @izzi_mx Yo dure como 9 años con sky lo cambie por la necesidad del internet 
Pero en cuanto tenga la oportunidad me cambio
Es una vasca este servicio",Twitter for Android,0,0
1082446944004460544,2019-01-08 01:20:36,KRASO,KrasoCG,MEXICO,@rafaeloseas @ayudaizzi @izzi_mx La fruta madre con los apocalipsis chingado!!! 😒,Twitter for Android,0,0
1082446781533904896,2019-01-08 01:19:58,KRASO,KrasoCG,MEXICO,@ayudaizzi Si lo acabo de recibir gracias espero que a la brevedad y pronta posible pongan en funcionamiento por favor ya que me urge,Twitter for Android,0,0
1082446492181377025,2019-01-08 01:18:49,luciano Mtz,lukmtz,"Guadalajara, Jalisco","@ayudaizzi Siempre dicen lo mismo, envío la información y no pasa nada 😣",Twitter for iPhone,1,0
1082445848489984000,2019-01-08 01:16:15,Rafael bike oseas,rafaeloseas,oaxaca,@KrasoCG @ayudaizzi @izzi_mx A mi me sucede lo mismo de hecho mi telefono se murio,Twitter for Android,1,0
1082443281722535936,2019-01-08 01:06:03,LupitaVillegas,lupitave,"Tijuana, Mexico","@ayudaizzi Requiero el servicio,  con las disculpas no se resuelve nada. Por atenciòn y respeto a cliente deberìan avisar antes y por supuesto, realizar el ajuste del servicio no prestado en cada recibo que se paga como si se estuviera recibiendo el servicio completo, correcto y con calidad",Twitter Web Client,0,0
1082443104920039424,2019-01-08 01:05:21,Miguel R. Navarro G.,Inuyasha_gcn,"Saltillo, Coahuila - México","@ayudaizzi Contrate hace 20 días y aún no me instalan, ya hasta les pagué 😡",Twitter Web Client,0,0
1082441525169139714,2019-01-08 00:59:05,tavo espinosa,gtavo_82,cd. madero,@ayudaizzi buenas noches no tengo señal de cable desde en la mañana,Twitter for Android,0,0
